n_neighbors,min_dist,n_components,metric,optimal_k,optimal_silhouette
100,0.25,2,manhattan,3,0.43859598
10,0.1,5,manhattan,3,0.438274
5,0.1,50,minkowski,10,0.43788242
10,0.1,2,minkowski,3,0.43785164
20,0.0,100,minkowski,3,0.43737218
20,0.1,2,euclidean,3,0.43704045
20,0.0,50,minkowski,3,0.4366924
100,0.0,2,manhattan,3,0.43665776
20,0.25,100,chebyshev,2,0.4362313
20,0.1,2,minkowski,3,0.43623027
50,0.1,2,euclidean,3,0.4361681
5,0.1,2,manhattan,2,0.43591487
200,0.1,2,manhattan,3,0.4348971
10,0.0,20,minkowski,9,0.4347865
50,0.25,5,chebyshev,2,0.4346109
50,0.0,2,chebyshev,2,0.43453357
50,0.1,2,chebyshev,8,0.43439835
10,0.0,100,euclidean,4,0.434239
20,0.0,5,minkowski,4,0.43384227
5,0.1,100,manhattan,4,0.4334271
5,0.1,50,manhattan,5,0.4331731
20,0.1,5,manhattan,3,0.4330177
50,0.0,50,manhattan,3,0.43300766
50,0.1,2,minkowski,3,0.43290165
20,0.0,20,minkowski,4,0.43250498
200,0.0,5,chebyshev,2,0.4324519
10,0.0,10,euclidean,9,0.43210787
20,0.25,2,chebyshev,4,0.4318257
10,0.0,20,euclidean,10,0.4316255
50,0.0,10,chebyshev,2,0.431041
5,0.1,20,manhattan,5,0.43048498
20,0.1,10,manhattan,3,0.43038023
200,0.25,2,manhattan,3,0.4302261
20,0.1,50,manhattan,3,0.4299368
5,0.25,2,euclidean,5,0.42992392
50,0.25,2,manhattan,3,0.42969564
100,0.0,2,euclidean,3,0.4296632
50,0.25,10,chebyshev,2,0.42951044
2,0.0,2,manhattan,3,0.42919803
50,0.0,20,manhattan,3,0.42865106
20,0.25,2,euclidean,3,0.4279972
20,0.25,2,manhattan,3,0.42764264
2,0.1,2,euclidean,10,0.42706126
2,0.0,2,chebyshev,10,0.42661157
100,0.0,2,minkowski,3,0.42659965
10,0.1,100,euclidean,4,0.4264192
20,0.0,10,minkowski,3,0.42616284
20,0.1,100,manhattan,3,0.42552486
100,0.1,2,minkowski,3,0.42548692
5,0.1,100,minkowski,10,0.42536944
50,0.0,5,manhattan,3,0.42503572
20,0.0,100,euclidean,3,0.42459917
20,0.0,5,euclidean,3,0.42406344
20,0.0,50,euclidean,3,0.4239304
50,0.25,2,minkowski,3,0.42356884
5,0.25,2,manhattan,5,0.42233762
2,0.0,2,minkowski,10,0.42225474
20,0.1,20,manhattan,3,0.42196715
50,0.25,2,euclidean,3,0.42067063
200,0.0,2,euclidean,3,0.42063835
10,0.0,5,minkowski,10,0.42052126
20,0.25,2,minkowski,3,0.4204044
200,0.0,50,chebyshev,2,0.42019397
100,0.1,100,chebyshev,2,0.420153
10,0.25,2,minkowski,3,0.4197404
50,0.0,100,manhattan,3,0.41959947
2,0.25,2,manhattan,10,0.41931924
2,0.1,2,manhattan,6,0.41878295
20,0.0,20,manhattan,4,0.41877872
200,0.0,2,minkowski,3,0.41802087
2,0.0,2,euclidean,9,0.4176621
200,0.0,10,chebyshev,2,0.41760027
200,0.1,2,minkowski,3,0.41750553
100,0.1,2,euclidean,3,0.41703343
10,0.0,50,minkowski,5,0.41603646
50,0.0,10,manhattan,3,0.41549328
20,0.0,10,euclidean,6,0.41478786
100,0.0,50,chebyshev,2,0.4145725
10,0.25,2,euclidean,3,0.4143402
20,0.0,50,manhattan,4,0.4139963
10,0.1,100,minkowski,4,0.41394222
100,0.25,2,minkowski,3,0.4130904
20,0.0,10,manhattan,5,0.4120773
100,0.1,2,chebyshev,2,0.41093892
200,0.0,2,chebyshev,10,0.41083518
100,0.25,2,euclidean,3,0.41032857
200,0.1,2,euclidean,3,0.4095537
5,0.25,5,manhattan,4,0.4088833
50,0.0,10,minkowski,3,0.40850437
100,0.0,10,manhattan,3,0.40842155
100,0.0,20,manhattan,3,0.40825447
2,0.1,2,chebyshev,10,0.40817973
5,0.25,20,manhattan,4,0.40740207
10,0.1,50,euclidean,5,0.40540373
50,0.0,100,minkowski,3,0.40533045
50,0.25,2,chebyshev,7,0.40526307
20,0.1,100,euclidean,4,0.40512386
100,0.0,5,manhattan,3,0.40460646
50,0.0,10,euclidean,3,0.40429524
100,0.0,50,manhattan,3,0.40392223
10,0.1,10,minkowski,3,0.4033311
100,0.25,2,chebyshev,2,0.40302655
200,0.0,20,chebyshev,2,0.4023998
50,0.0,100,euclidean,3,0.40211573
20,0.1,20,euclidean,3,0.4018283
50,0.1,10,manhattan,3,0.4017862
10,0.25,20,manhattan,3,0.40173185
50,0.0,20,euclidean,3,0.40134558
200,0.25,2,euclidean,3,0.4012099
100,0.0,100,manhattan,3,0.401108
10,0.1,20,euclidean,4,0.4006682
5,0.25,20,minkowski,9,0.40033397
200,0.0,100,chebyshev,2,0.39989755
50,0.1,5,chebyshev,2,0.39959103
50,0.1,100,manhattan,3,0.39955747
5,0.25,10,manhattan,3,0.39856985
20,0.1,5,euclidean,3,0.39826673
50,0.1,50,manhattan,3,0.39817527
200,0.25,2,minkowski,3,0.3977512
20,0.1,100,minkowski,3,0.39766452
50,0.0,50,euclidean,3,0.39684469
100,0.0,5,chebyshev,2,0.39676264
20,0.1,5,minkowski,3,0.3963744
200,0.1,2,chebyshev,3,0.39580587
10,0.25,50,manhattan,3,0.39571196
5,0.25,20,euclidean,5,0.39532351
50,0.1,10,chebyshev,2,0.39527875
50,0.0,50,minkowski,3,0.3952705
50,0.0,5,euclidean,3,0.39519268
5,0.25,50,minkowski,10,0.39508122
10,0.1,5,minkowski,10,0.3950764
50,0.1,5,manhattan,3,0.39482138
50,0.0,5,minkowski,3,0.39466983
200,0.25,2,chebyshev,7,0.39449346
10,0.1,5,euclidean,3,0.39434943
20,0.1,10,minkowski,3,0.39402646
100,0.1,5,chebyshev,2,0.39198938
50,0.0,20,minkowski,3,0.3916805
20,0.25,20,manhattan,3,0.39121246
