eps,min_samples,score,num_clusters,n_neighbors,min_dist,n_components,metric
5.1000000000000005,2,0.9857499,71,2,0.0,100,manhattan
1.7000000000000004,2,0.9857499,71,2,0.0,100,manhattan
4.500000000000001,2,0.9857499,71,2,0.0,100,manhattan
9.900000000000002,2,0.9857499,71,2,0.0,100,manhattan
1.9000000000000004,2,0.9857499,71,2,0.0,100,manhattan
7.900000000000001,2,0.9857499,71,2,0.0,100,manhattan
5.700000000000001,2,0.9857499,71,2,0.0,100,manhattan
9.700000000000001,2,0.9857499,71,2,0.0,100,manhattan
3.900000000000001,2,0.9857499,71,2,0.0,100,manhattan
8.900000000000002,2,0.9857499,71,2,0.0,100,manhattan
2.1000000000000005,2,0.9857499,71,2,0.0,100,manhattan
2.3000000000000007,2,0.9857499,71,2,0.0,100,manhattan
8.100000000000001,2,0.9857499,71,2,0.0,100,manhattan
2.5000000000000004,2,0.9857499,71,2,0.0,100,manhattan
8.3,2,0.9857499,71,2,0.0,100,manhattan
2.7000000000000006,2,0.9857499,71,2,0.0,100,manhattan
9.500000000000002,2,0.9857499,71,2,0.0,100,manhattan
3.7000000000000006,2,0.9857499,71,2,0.0,100,manhattan
2.900000000000001,2,0.9857499,71,2,0.0,100,manhattan
9.3,2,0.9857499,71,2,0.0,100,manhattan
8.500000000000002,2,0.9857499,71,2,0.0,100,manhattan
4.7,2,0.9857499,71,2,0.0,100,manhattan
9.100000000000001,2,0.9857499,71,2,0.0,100,manhattan
3.1000000000000005,2,0.9857499,71,2,0.0,100,manhattan
1.5000000000000004,2,0.9857499,71,2,0.0,100,manhattan
8.700000000000001,2,0.9857499,71,2,0.0,100,manhattan
5.500000000000001,2,0.9857499,71,2,0.0,100,manhattan
7.300000000000001,2,0.9857499,71,2,0.0,100,manhattan
6.900000000000001,2,0.9857499,71,2,0.0,100,manhattan
6.1000000000000005,2,0.9857499,71,2,0.0,100,manhattan
7.700000000000001,2,0.9857499,71,2,0.0,100,manhattan
6.700000000000001,2,0.9857499,71,2,0.0,100,manhattan
6.500000000000001,2,0.9857499,71,2,0.0,100,manhattan
0.7000000000000001,2,0.9857499,71,2,0.0,100,manhattan
